topo,shape,numNodes,cost,execution_time
fattree,"6,6:6,6:6,6:5",1024,3892160,0.146771
fattree,"12,12:11,11:8",1024,3646720,0.146744
fattree,"18,18:15,15:4",1024,3748160,0.14674
fattree,"24,24:22,22:2",1024,3942400,0.146734
fattree,"29,29:18,18:2",1024,4033600,0.146738
fattree,"8,4:6,6:6,6:5",1296,4868640,0.116334
fattree,"12,12:12,12:9",1296,4586400,0.116297
fattree,"18,18:18,18:4",1296,4695840,0.116291
fattree,"23,23:19,19:3",1296,4837520,0.116304
fattree,"31,28:21,21:2",1296,4972000,0.116296
fattree,"11,1:8,4:5,5:4",1600,4978560,0.21831
fattree,"21,2:11,11:7",1600,4977760,0.139606
fattree,"32,3:17,17:3",1600,4994480,0.151378
fattree,"45,3:18,18:2",1600,4984640,0.153348
fattree,"56,4:29",1600,4929600,0.135304
dragonfly,24:2:10:8,1024,4432160,0.198431487
dragonfly,24:3:8:8,1296,4899200,0.160486813
dragonfly,24:16:4:5,1600,4997600,0.268054511
